rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.9879,"Признаки координации: 6 seed в путях, 24 входящих и 62 исходящих связей."
2,100000008165763100,coordinator,0.9584,"Признаки координации: 6 seed в путях, 15 входящих и 17 исходящих связей."
3,100000008603629100,coordinator,0.9466,"Признаки координации: 4 seed в путях, 19 входящих и 61 исходящих связей."
4,100000000331309100,coordinator,0.9385,"Признаки координации: 4 seed в путях, 5 входящих и 99 исходящих связей."
5,100000008346837100,coordinator,0.9377,"Признаки координации: 6 seed в путях, 9 входящих и 25 исходящих связей."
6,100000000437046100,coordinator,0.9359,"Признаки координации: 4 seed в путях, 9 входящих и 42 исходящих связей."
7,100000000343175100,coordinator,0.9331,"Признаки координации: 4 seed в путях, 8 входящих и 31 исходящих связей."
8,100000004156082100,coordinator,0.9313,"Признаки координации: 4 seed в путях, 5 входящих и 26 исходящих связей."
9,100000003016635100,coordinator,0.9283,"Признаки координации: 3 seed в путях, 8 входящих и 73 исходящих связей."
10,100000008710791100,coordinator,0.9242,"Признаки координации: 5 seed в путях, 3 входящих и 23 исходящих связей."
11,100000008477350100,coordinator,0.9238,"Признаки координации: 3 seed в путях, 11 входящих и 39 исходящих связей."
12,100000006866783100,coordinator,0.9201,"Признаки координации: 3 seed в путях, 13 входящих и 67 исходящих связей."
13,100000008489922100,coordinator,0.9092,"Признаки координации: 3 seed в путях, 3 входящих и 36 исходящих связей."
14,100000008547948100,coordinator,0.9016,"Признаки координации: 3 seed в путях, 6 входящих и 26 исходящих связей."
15,100000005933757100,coordinator,0.9002,"Признаки координации: 2 seed в путях, 4 входящих и 34 исходящих связей."
16,100000003242289100,coordinator,0.8925,"Признаки координации: 3 seed в путях, 3 входящих и 23 исходящих связей."
17,100000003115284100,consolidator,0.8923,"Признаки консолидации: 8 плательщиков, входящий поток 2,160,500 ₸."
18,100000001857829100,coordinator,0.8913,"Признаки координации: 3 seed в путях, 6 входящих и 16 исходящих связей."
19,100000008743913100,coordinator,0.8904,"Признаки координации: 6 seed в путях, 3 входящих и 13 исходящих связей."
20,100000002957787100,distributor,0.8863,"Признаки распределения: 34 получателей, исходящий поток 1,276,154 ₸."
21,100000005910114100,coordinator,0.886,"Признаки координации: 4 seed в путях, 3 входящих и 19 исходящих связей."
22,100000004015047100,consolidator,0.8851,"Признаки консолидации: 9 плательщиков, входящий поток 919,104 ₸."
23,100000007442518100,coordinator,0.8828,"Признаки координации: 4 seed в путях, 5 входящих и 9 исходящих связей."
24,100000005074393100,coordinator,0.8808,"Признаки координации: 6 seed в путях, 4 входящих и 6 исходящих связей."
25,100000002398779100,consolidator,0.88,"Признаки консолидации: 13 плательщиков, входящий поток 1,095,690 ₸."
26,100000001530983100,coordinator,0.878,"Признаки координации: 5 seed в путях, 4 входящих и 11 исходящих связей."
27,100000004400305100,coordinator,0.8754,"Признаки координации: 2 seed в путях, 7 входящих и 82 исходящих связей."
28,100000001616816100,coordinator,0.8751,"Признаки координации: 7 seed в путях, 5 входящих и 3 исходящих связей."
29,100000008547844100,coordinator,0.8698,"Признаки координации: 3 seed в путях, 3 входящих и 19 исходящих связей."
30,100000007908818100,coordinator,0.8678,"Признаки координации: 8 seed в путях, 4 входящих и 6 исходящих связей."
31,100000008512827100,coordinator,0.864,"Признаки координации: 5 seed в путях, 3 входящих и 10 исходящих связей."
32,100000002741024100,coordinator,0.8597,"Признаки координации: 3 seed в путях, 5 входящих и 6 исходящих связей."
33,100000005382566100,consolidator,0.8575,"Признаки консолидации: 7 плательщиков, входящий поток 393,066 ₸."
34,100000008304139100,coordinator,0.8573,"Признаки координации: 2 seed в путях, 4 входящих и 24 исходящих связей."
35,100000005782781100,coordinator,0.8495,"Признаки координации: 3 seed в путях, 6 входящих и 10 исходящих связей."
36,100000004351795100,coordinator,0.8461,"Признаки координации: 3 seed в путях, 3 входящих и 14 исходящих связей."
37,100000005704413100,distributor,0.8451,"Признаки распределения: 32 получателей, исходящий поток 1,363,593 ₸."
38,100000005242320100,distributor,0.8441,"Признаки распределения: 21 получателей, исходящий поток 8,936,295 ₸."
39,100000002224132100,coordinator,0.8416,"Признаки координации: 2 seed в путях, 5 входящих и 4 исходящих связей."
40,100000008686313100,coordinator,0.841,"Признаки координации: 3 seed в путях, 6 входящих и 7 исходящих связей."
41,100000003635170100,coordinator,0.8328,"Признаки координации: 5 seed в путях, 3 входящих и 4 исходящих связей."
42,100000008517538100,coordinator,0.8313,"Признаки координации: 2 seed в путях, 3 входящих и 17 исходящих связей."
43,100000004070318100,coordinator,0.8302,"Признаки координации: 2 seed в путях, 4 входящих и 19 исходящих связей."
44,100000003701161100,coordinator,0.8292,"Признаки координации: 3 seed в путях, 4 входящих и 3 исходящих связей."
45,100000001899164100,coordinator,0.828,"Признаки координации: 5 seed в путях, 4 входящих и 3 исходящих связей."
46,100000002578405100,distributor,0.8272,"Признаки распределения: 116 получателей, исходящий поток 3,108,352 ₸."
47,100000008733194100,coordinator,0.8271,"Признаки координации: 4 seed в путях, 4 входящих и 8 исходящих связей."
48,100000008637537100,coordinator,0.8268,"Признаки координации: 4 seed в путях, 3 входящих и 3 исходящих связей."
49,100000000332284100,coordinator,0.8248,"Признаки координации: 3 seed в путях, 10 входящих и 3 исходящих связей."
50,100000008730846100,coordinator,0.8217,"Признаки координации: 4 seed в путях, 7 входящих и 3 исходящих связей."
