cluster_id,n_nodes,n_seed,sum_kzt_internal,incoming_external_volume,outgoing_external_volume,top_gids,top_priority_nodes,role_distribution,hypothesis
0,277,1,31856346.24,5271986.55,6942908.34,100000000437046100;100000002957787100;100000006866783100;100000008477350100;100000004400305100,100000000437046100;100000002957787100;100000006866783100;100000008477350100;100000004400305100,"{""peripheral"": 128, ""terminal"": 96, ""distributor"": 22, ""coordinator"": 13, ""consolidator"": 12, ""transit"": 6}",Есть связи с несколькими сообществами; проверьте переходы между ними.
1,270,1,10178044.0,0.0,0.0,100000002578405100;100000002527114100;100000002733905100;100000001697501100;100000008493007100,100000002578405100;100000002527114100;100000002733905100;100000001697501100;100000008493007100,"{""terminal"": 155, ""peripheral"": 109, ""distributor"": 3, ""transit"": 2, ""consolidator"": 1}",Гипотеза: группа переводов с преобладанием роли «конечный получатель» (155/270 узлов).
2,148,5,19555090.0,4081540.74,4698307.0,100000003684369100;100000008165763100;100000007908818100;100000008304139100;100000005612411100,100000003684369100;100000008165763100;100000007908818100;100000008304139100;100000005612411100,"{""terminal"": 81, ""peripheral"": 45, ""distributor"": 12, ""coordinator"": 5, ""consolidator"": 3, ""transit"": 2}",Есть связи с несколькими сообществами; проверьте переходы между ними.
3,126,0,16339904.0,2797944.0,4132354.0,100000008603629100;100000001857829100;100000003880331100;100000002723538100;100000002481974100,100000008603629100;100000001857829100;100000003880331100;100000002723538100;100000002481974100,"{""peripheral"": 73, ""terminal"": 33, ""coordinator"": 9, ""distributor"": 9, ""transit"": 2}",Есть связи с несколькими сообществами; проверьте переходы между ними.
4,126,0,24907250.33,4011966.75,5625010.0,100000000331309100;100000003796063100;100000006889963100;100000000332284100;100000006734214100,100000000331309100;100000003796063100;100000006889963100;100000000332284100;100000006734214100,"{""peripheral"": 54, ""terminal"": 53, ""coordinator"": 7, ""distributor"": 6, ""consolidator"": 3, ""transit"": 3}",Есть связи с несколькими сообществами; проверьте переходы между ними.
5,125,7,18300397.28,1248067.0,940305.0,100000003016635100;100000006518161100;100000000490383100;100000001530983100;100000008389800100,100000003016635100;100000006518161100;100000000490383100;100000001530983100;100000008389800100,"{""peripheral"": 55, ""terminal"": 49, ""distributor"": 10, ""coordinator"": 8, ""consolidator"": 2, ""transit"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
6,106,4,16242879.02,1923621.8,1071317.4,100000001616816100;100000005782781100;100000005514161100;100000002870463100;100000006788200100,100000001616816100;100000005782781100;100000005514161100;100000002870463100;100000006788200100,"{""terminal"": 52, ""peripheral"": 36, ""distributor"": 10, ""consolidator"": 5, ""coordinator"": 3}",Есть связи с несколькими сообществами; проверьте переходы между ними.
7,104,1,21747439.59,2338701.0,3624566.0,100000008489922100;100000008710791100;100000008547948100;100000002838861100;100000004997515100,100000008489922100;100000008710791100;100000008547948100;100000002838861100;100000004997515100,"{""terminal"": 44, ""peripheral"": 44, ""distributor"": 8, ""consolidator"": 5, ""transit"": 2, ""coordinator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
8,61,0,4350466.67,311847.0,468290.0,100000005704413100;100000005578559100;100000005473151100;100000008104567100;100000004569484100,100000005704413100;100000005578559100;100000005473151100;100000008104567100;100000004569484100,"{""peripheral"": 38, ""terminal"": 16, ""distributor"": 5, ""coordinator"": 2}",Есть связи с несколькими сообществами; проверьте переходы между ними.
9,59,1,6772097.0,2191959.0,719155.0,100000003115284100;100000000343175100;100000008730846100;100000003809101100;100000007998965100,100000003115284100;100000000343175100;100000008730846100;100000003809101100;100000007998965100,"{""terminal"": 30, ""peripheral"": 19, ""coordinator"": 5, ""distributor"": 3, ""transit"": 1, ""consolidator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
10,56,3,13397542.0,1435890.0,1289895.0,100000008637537100;100000008547844100;100000008466579100;100000003589877100;100000002343825100,100000008637537100;100000008547844100;100000008466579100;100000003589877100;100000002343825100,"{""terminal"": 22, ""peripheral"": 21, ""distributor"": 7, ""coordinator"": 4, ""transit"": 2}",Есть связи с несколькими сообществами; проверьте переходы между ними.
11,55,1,3064863.0,285618.4,226596.0,100000003265158100;100000001899164100;100000008636603100;100000004662806100;100000002193259100,100000003265158100;100000001899164100;100000008636603100;100000004662806100;100000002193259100,"{""peripheral"": 27, ""terminal"": 18, ""distributor"": 6, ""coordinator"": 3, ""transit"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
12,51,0,13990812.0,1663545.0,1246800.0,100000008512827100;100000005242320100;100000008742053100;100000001282143100;100000001584286100,100000008512827100;100000005242320100;100000008742053100;100000001282143100;100000001584286100,"{""terminal"": 30, ""peripheral"": 15, ""distributor"": 4, ""coordinator"": 1, ""transit"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
13,50,3,4135421.0,787305.0,380817.0,100000008346837100;100000005074393100;100000008733194100;100000001236706100;100000000489417100,100000008346837100;100000005074393100;100000008733194100;100000001236706100;100000000489417100,"{""peripheral"": 35, ""terminal"": 8, ""coordinator"": 4, ""distributor"": 2, ""consolidator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
14,44,0,10215968.84,243701.0,527149.0,100000001937767100;100000005933757100;100000004159526100;100000002963189100;100000002605308100,100000001937767100;100000005933757100;100000004159526100;100000002963189100;100000002605308100,"{""terminal"": 23, ""peripheral"": 17, ""distributor"": 3, ""coordinator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
15,41,3,4888834.28,254329.0,315760.0,100000004156082100;100000005339662100;100000004820260100;100000008188026100;100000000076451100,100000004156082100;100000005339662100;100000004820260100;100000008188026100;100000000076451100,"{""peripheral"": 19, ""terminal"": 14, ""distributor"": 5, ""coordinator"": 2, ""transit"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
